id	Titre	Recette	Duree	Ingredients 	Calories	Proteines	Lipides	Glucides	Youtube	Image	Cuisine	Cathegorie
82	Ravioli	Préparation de la pâte : Si vous préparez des raviolis maison, mélangez de la farine, des œufs et un peu d'huile d'olive pour faire une pâte lisse. Étalez la pâte et découpez des carrés. Garniture : Préparez la garniture de votre choix, comme du fromage ricotta et des épinards, ou de la viande hachée cuite. Cuisson : Faites cuire les raviolis dans de l'eau bouillante salée pendant environ 3-5 minutes. Sauce : Servez avec une sauce tomate ou une sauce à la crème.	30-60 minutes	Raviolis frais ou secs (fromage, viande, légumes) Sauce tomate ou sauce à la crème Parmesan râpé (facultatif)	325	12	15	30	NULL	https://www.thereciperebel.com/wp-content/uploads/2021/10/bsked-ravioli-new-www.thereciperebel.com-1200-38-of-47.jpg	NULL	NULL
83	Rfissa	Cuisson de la viande : Faites revenir du poulet dans une grande casserole avec des oignons, de l'ail, et des épices (cumin, gingembre, curcuma). Ajoutez un peu de bouillon et laissez mijoter. Préparation de la pâte : Préparez des msemen (pâte feuilletée marocaine) ou des feuilles de brick, puis coupez-les en morceaux. Assemblage : Lorsque le poulet est bien cuit, placez les morceaux de pâte dans le fond du plat, puis versez la viande et le bouillon par-dessus. Laissez cuire à feu doux jusqu'à ce que la pâte absorbe le bouillon.	1-3 heures	1 poulet 2 oignons 200g de lentilles 100g de vermicelles ou msemen Cumin, gingembre, curcuma Bouillon de poulet	400	30	12	45	NULL	https://ourbigescape.com/wp-content/uploads/2023/05/Depositphotos_642200562_XL.jpg	NULL	NULL
84	Risotto	Préparation de la base : Faites revenir des oignons hachés dans du beurre ou de l'huile d'olive jusqu'à ce qu'ils soient tendres. Cuisson du riz : Ajoutez du riz arborio et faites-le revenir pendant 1-2 minutes. Ajoutez petit à petit du bouillon chaud, en remuant constamment. Laissez le riz absorber le liquide avant d'en ajouter davantage. Finalisation : Une fois que le riz est cuit et crémeux, ajoutez du parmesan râpé et du beurre pour une texture encore plus crémeuse.	30-60 minutes	200g de riz arborio 1 oignon, haché 1L de bouillon de légumes ou de poulet 100g de parmesan râpé Beurre et huile d'olive	400	8	18	50	NULL	https://www.thespruceeats.com/thmb/CRmYAnE3ConPtd67Si1H-2Ef_Fc=/6192x4128/filters:fill(auto,1)/mushroom-risotto-recipe-996005-hero-01-5c3ab578c9e77c0001d3d78f.jpg	NULL	NULL
85	Riz	Cuisson du riz : Rincez le riz à l'eau froide, puis faites-le cuire dans de l'eau bouillante salée pendant environ 10-15 minutes. Égouttez-le. Assaisonnement : Ajoutez un peu de beurre ou d'huile d'olive pour plus de saveur.	15-30 minutes	200g de riz basmati 400ml d'eau Sel	225	5	0	45	NULL	https://th.bing.com/th/id/OIP.J9w3GagBY7caGi4Fh0SzLQHaE8?rs=1&pid=ImgDetMain	NULL	NULL
86	Riz à la ratatouille	Préparation du riz : Faites cuire du riz comme indiqué ci-dessus. Préparation de la ratatouille : Suivez la recette de la ratatouille, en la faisant cuire avec des légumes comme des tomates, des courgettes, des aubergines, et des poivrons. Assemblage : Mélangez le riz cuit avec la ratatouille et servez chaud.	30-60 minutes	200g de riz 1 courgette, 1 aubergine, 1 poivron 2 tomates Ail, huile d'olive	275	6	10	40	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.rhizomecollective.org%2Fwp-content%2Fuploads%2F2015%2F09%2Fratatouille-au-riz.jpg&f=1&nofb=1&ipt=b4b86baff5be7d1eb2135c8cbc8f8e6aa0c6b628db9cb8e101fd946d16b2b194&ipo=images	NULL	NULL
87	Riz avec du poulet	Cuisson du poulet : Faites cuire des morceaux de poulet dans une poêle avec des épices (cumin, curcuma, paprika). Ajoutez de l'ail et de l'oignon hachés. Cuisson du riz : Faites cuire le riz séparément. Assemblage : Mélangez le riz et le poulet, puis servez chaud avec une sauce au choix.	30-60 minutes	200g de riz 2 cuisses de poulet Oignon, ail Épices (curcuma, paprika)	450	30	20	45	NULL	https://i.pinimg.com/originals/c5/7b/e3/c57be3434f82024ef5a28bb10ed72cbf.jpg	NULL	NULL
88	Riz basmati	Cuisson du riz basmati : Rincez bien le riz à l'eau froide, puis faites-le cuire dans de l'eau bouillante salée pendant environ 10-12 minutes. Égouttez et laissez reposer quelques minutes.	15-30 minutes	200g de riz basmati 400ml d'eau Sel	225	5	0	45	NULL	NULL	NULL	NULL
89	Riz sénégalais	Cuisson du riz : Faites cuire le riz basmati ou riz long grain avec un bouillon de légumes ou de poulet. Préparation de la sauce : Faites revenir de l'oignon, de l'ail, des tomates et du piment dans de l'huile d'olive. Ajoutez des légumes (carottes, poivrons) et un peu de viande ou du poisson si vous le souhaitez. Mélange : Mélangez le riz avec la sauce pour un riz savoureux.	30-60 minutes	200g de riz 300g de poisson ou viande 2 tomates, poivron, oignon Bouillon Piment (facultatif)	450	30	15	50	NULL	https://azamag.com/wp-content/uploads/2020/01/tiep-bou-dieun.jpg	NULL	NULL
90	Rziza	Cuisson de la viande : Faites revenir l'oignon haché dans un peu de beurre ou d'huile d'olive. Ajoutez la viande hachée (agneau ou poulet), assaisonnez avec des épices comme la cannelle, le cumin, et le gingembre. Laissez cuire jusqu'à ce que la viande soit bien dorée. Préparation de la pâte : Faites fondre le beurre dans une poêle. Découpez les feuilles de brick ou de pâte filo en petits morceaux et superposez-les. Faites-les légèrement frire dans le beurre fondu jusqu'à ce qu'elles soient dorées et croustillantes. Assemblage : Une fois la viande cuite, farcissez les feuilles de brick avec cette préparation. Enroulez-les comme des cigares ou des rouleaux. Finalisation : Si vous le souhaitez, saupoudrez de sucre glace et de cannelle pour un effet sucré.	1-3 heures	200g de feuilles de brick 300g de viande hachée (agneau ou poulet) 1 oignon Épices : cannelle, cumin, gingembre 50g de beurre fondu 50g de sucre glace (optionnel)	250	15	15	20	NULL	https://www.gastronomiac.com/wp/wp-content/uploads/2020/03/Rziza-ou-rezzat-el-qadi-e1583861016583.png	NULL	NULL
91	Salade	Lavage des légumes : Lavez bien la laitue, les tomates et les concombres. Coupez-les en morceaux. Assemblage : Dans un grand saladier, ajoutez la laitue coupée, les tomates, et les concombres. Vous pouvez ajouter des légumes supplémentaires selon vos préférences. Assaisonnement : Arrosez la salade d'huile d'olive, ajoutez du sel et du poivre. Vous pouvez ajouter un peu de vinaigre ou du jus de citron pour plus de fraîcheur	15-30 minutes	Laitue, tomates, concombres 1 cuillère à soupe d'huile d'olive Vinaigre, sel, poivre	20	1	1	4	NULL	https://www.galbani.fr/wp-content/uploads/2020/05/AdobeStock_220126244.jpeg	NULL	NULL
92	Salade César	Cuisson des croûtons : Coupez des tranches de pain en petits cubes. Faites-les revenir dans un peu de beurre ou d'huile d'olive jusqu'à ce qu'ils soient dorés et croquants. Préparation de la vinaigrette : Dans un bol, mélangez la mayonnaise, l'ail haché, le vinaigre, le parmesan râpé, et un peu de moutarde. Assaisonnez de sel et de poivre. Assemblage : Dans un grand saladier, mélangez la laitue romaine coupée, les croûtons et le parmesan râpé. Ajoutez la vinaigrette et mélangez bien. 4. Salade de fruits	15-30 minutes	1 tête de laitue romaine 50g de croûtons 30g de fromage parmesan 2 cuillères à soupe de mayonnaise 1 cuillère à soupe de vinaigre 1 gousse d'ail	180	4	15	5	NULL	https://www.galbani.fr/wp-content/uploads/2020/04/AdobeStock_157570276-2.jpeg	NULL	NULL
93	Salade de fruits	Préparation des fruits : Pelez et coupez les fruits en morceaux (bananes, pommes, oranges, kiwis, etc.). Mélange : Mélangez tous les fruits dans un grand saladier. Assaisonnement : Vous pouvez ajouter un peu de jus de citron ou de miel pour apporter de la douceur. Mélangez et servez bien frais.	15-30 minutes	1 banane 1 pomme 1 orange 1 kiwi Jus de citron (optionnel)	60	1	0	15	NULL	https://assets.afcdn.com/story/20170512/1084854_w767h767c1cx512cy512.jpg	NULL	NULL
94	Salade de riz	Cuisson du riz : Faites cuire le riz selon les instructions du paquet, puis laissez-le refroidir. Préparation des légumes : Coupez en petits morceaux le poivron, la tomate, et autres légumes de votre choix (par exemple du concombre). Assemblage : Dans un saladier, mélangez le riz refroidi avec les légumes coupés. Ajoutez le maïs en boîte. Assaisonnement : Arrosez d'huile d'olive et de vinaigre. Salez et poivrez selon votre goût.	15-30 minutes	200g de riz 1 poivron 1 tomate 1 boîte de maïs 2 cuillères à soupe d'huile d'olive Vinaigre, sel, poivre	120	2	3	22	NULL	https://www.marecette.ch/wp-content/uploads/2020/02/salade-de-riz.jpg	NULL	NULL
95	Salade marocaine	Préparation des légumes : Lavez et coupez les tomates, concombres, poivrons, et oignons en petits morceaux. Assemblage : Mélangez tous les légumes dans un saladier. Assaisonnement : Ajoutez l'huile d'olive, le jus de citron, et assaisonnez avec du cumin et du paprika pour donner un goût marocain authentique.	15-30 minutes	2 tomates 1 concombre 1 poivron 1 oignon 2 cuillères à soupe d'huile d'olive Jus de citron Cumin, paprika	8	4	1	8	NULL	https://th.bing.com/th/id/R.3add3e668ee4db6c43b5f7573f1c1cd3?rik=VJJqh1pjDTABSA&riu=http%3a%2f%2fwww.cuisinonsencouleurs.fr%2fwp-content%2fuploads%2f2015%2f08%2fsalade-concombre-et-tomates.jpg&ehk=rijj%2bEnFywhmrNg3RIOBR6MMRHanjARBt0ieiCRK%2bzo%3d&risl=1&pid=ImgRaw&r=0	NULL	NULL
96	Salade mexicaine	Préparation des légumes : Lavez et coupez les tomates, l’avocat, et les poivrons en petits morceaux. Mélange des ingrédients : Ajoutez les haricots noirs en boîte, le maïs, et les légumes coupés dans un saladier. Assaisonnement : Arrosez de jus de lime et ajoutez de la coriandre fraîche hachée. Vous pouvez ajouter un peu de chili si vous aimez les plats épicés.	15-30 minutes	1 boîte de haricots noirs 1 boîte de maïs 2 tomates 1 avocat Jus de lime Coriandre fraîche	120	4	5	18	NULL	https://th.bing.com/th/id/R.b3b543b7195cd06cd770d0c3edbdee00?rik=iXkgNiVweCqEOA&pid=ImgRaw&r=0	NULL	NULL
97	Salade mixte	Préparation des légumes : Lavez et coupez la laitue, les tomates, les concombres, les carottes (râpées) et les radis en fines tranches. Assemblage : Mélangez tous les légumes dans un saladier. Assaisonnement : Arrosez d’huile d'olive, de vinaigre, de sel et de poivre au goût.	15-30 minutes	Laitue, tomates, concombres 1 carotte râpée 3 radis 1 cuillère à soupe d'huile d'olive Vinaigre, sel, poivre	30	1	2	5	NULL	https://espagnefascinante.fr/wp-content/uploads/ensalada-mixta-800x500.jpg	NULL	NULL
98	Salade niçoise	La salade niçoise est composée de légumes frais comme des tomates, des haricots verts, des œufs durs, des pommes de terre, des olives noires, et des filets de thon (frais ou en conserve). Elle est généralement accompagnée d'une vinaigrette à base d'huile d'olive, de vinaigre et de moutarde.	15-30 minutes	1 boîte de thon (ou thon frais grillé) 2 œufs durs 4 tomates 100g de haricots verts 4 pommes de terre 1 poignée d'olives noires 1 cuillère à soupe de moutarde 3 cuillères à soupe d'huile d'olive Vinaigre, sel, poivre	150	10	12	7	NULL	https://img.cuisineaz.com/660x660/2013/12/20/i34581-salade-nicoise-rapide.jpeg	NULL	NULL
99	Salade verte	Une salade verte est généralement composée de laitue, roquette, épinards, ou d'autres feuilles vertes. Elle peut être assaisonnée d'une vinaigrette légère avec du vinaigre, de l'huile d'olive, du sel, et du poivre.	15-30 minutes	Laitue, roquette ou épinards (au choix) 1 cuillère à soupe d'huile d'olive Vinaigre, sel, poivre	20	1	1	4	NULL	https://th.bing.com/th/id/OIP.rngBbieFuxkLJUFwNLktWwHaE6?rs=1&pid=ImgDetMain	NULL	NULL
100	Sandwich	Un sandwich classique se compose de deux tranches de pain garnies de divers ingrédients tels que du fromage, de la charcuterie, des légumes (salade, tomate), et des condiments comme de la moutarde ou de la mayonnaise.	15-30 minutes	2 tranches de pain (blanc, complet, ou baguette) 50g de jambon, poulet ou dinde 1 tranche de fromage (cheddar, emmental, etc.) Légumes : tomate, salade Condiments : moutarde, mayonnaise	250	10	8	30	NULL	https://th.bing.com/th/id/R.10fab4b7463c1ce6b90f0f68a23c69d2?rik=flEsiBGxCVpUYA&pid=ImgRaw&r=0	NULL	NULL
101	Sandwich au thon	Ce sandwich contient du thon en conserve, mélangé avec de la mayonnaise, de la moutarde et des légumes (souvent des tomates ou des cornichons). Il est souvent servi avec des tranches de pain de mie.	15-30 minutes	1 boîte de thon en conserve 2 cuillères à soupe de mayonnaise 1 cuillère à soupe de moutarde 1 tomate, des cornichons (optionnel) 2 tranches de pain	180	14	10	5	NULL	https://th.bing.com/th/id/R.d2518d8a8d9bb46aadac2a51ac6e6244?rik=8YIEtWa8OaEa9g&pid=ImgRaw&r=0	NULL	NULL
102	Sardine	Les sardines peuvent être grillées ou cuites au four. Elles sont souvent assaisonnées avec de l'huile d'olive, du sel, du poivre et des herbes, comme du romarin ou du thym.	15-30 minutes	4 sardines entières (frais ou en conserve) 2 cuillères à soupe d'huile d'olive 1 citron Sel, poivre, herbes (romarin, thym)	210	25	12	0	NULL	https://th.bing.com/th/id/OIP.pVzkf1g0SAIfR5qqofCbnAHaHa?rs=1&pid=ImgDetMain	NULL	NULL
103	Sardine grillée	Pour des sardines grillées, placez-les sur un grill chaud après les avoir assaisonnées avec de l'huile d'olive, du sel, du poivre et du jus de citron. Vous pouvez les servir avec des légumes grillés ou une salade.	15-30 minutes	4 sardines fraîches 2 cuillères à soupe d'huile d'olive 1 citron Sel, poivre, herbes (romarin, thym)	220	25	13	0	NULL	https://th.bing.com/th/id/OIP.BbIS2KuhbRnLwpfAR6gF-QHaE9?rs=1&pid=ImgDetMain	NULL	NULL
104	Seffa Medfouna	Seffa Medfouna est un plat traditionnel marocain composé de semoule de blé cuite à la vapeur (semoule couscous), souvent garnie de viande (agneau, poulet) cuite avec des épices et parfois des fruits secs comme des raisins ou des amandes. Le tout est ensuite recouvert d'un mélange sucré de cannelle et de sucre.	1-3 heures	500g de semoule de blé (couscous) 500g de viande (poulet ou agneau) 1 oignon 1 poignée de raisins secs 1 poignée d'amandes Épices : cannelle, cumin, gingembre 2 cuillères à soupe de sucre 2 cuillères à soupe d'huile d'olive	200	9	7	25	NULL	https://th.bing.com/th/id/OIP.JfIafgr61ZjY6EEkjP-m-AHaE8?rs=1&pid=ImgDetMain	NULL	NULL
105	Shawarmas	Le Shawarma est une spécialité du Moyen-Orient qui consiste en de la viande (souvent de l'agneau, du poulet ou du bœuf) marinée dans un mélange d’épices comme le cumin, le paprika, l'ail, et du yaourt, puis grillée sur une broche. La viande est ensuite découpée en fines tranches et servie dans un pain pita avec des légumes et des sauces (comme la sauce à l'ail).	1-3 heures	500g de viande (poulet, bœuf ou agneau) 1 oignon 2 gousses d'ail 2 cuillères à soupe de yaourt nature Épices : cumin, paprika, coriandre, curcuma, cannelle 4 pains pita Légumes : tomates, concombre, salade	150	20	8	5	NULL	https://th.bing.com/th/id/R.255a341322e12df290c7156c76e892b9?rik=3liw5hEuEWocrQ&pid=ImgRaw&r=0	NULL	NULL
106	Soupe	Une soupe de base peut être faite avec des légumes (carottes, céleri, poireaux, pommes de terre), de l'eau ou du bouillon, et des épices légères comme du sel, du poivre et des herbes. Vous pouvez également y ajouter des protéines comme du poulet ou des lentilles.	30-60 minutes	2 carottes 1 poireau 2 pommes de terre 1 oignon Bouillon de légumes ou d’eau Sel, poivre, herbes aromatiques	40	1	0	9	NULL	https://assets.afcdn.com/recipe/20190222/88143_w1024h768c1cx2033cy3133cxt0cyt0cxb3738cyb5611.jpg	NULL	NULL
107	Soupe au poisson	Préparez un bouillon avec des têtes de poisson et des légumes (carottes, céleri, oignons), puis faites cuire le poisson dans ce bouillon. Ajoutez des épices comme le safran et du persil frais pour rehausser le goût.	1-3 heures	500g de poisson blanc (merlu, colin, etc.) 2 carottes 1 oignon 2 gousses d'ail Épices : safran, coriandre Bouillon de poisson	80	15	2	4	NULL	https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/FE339EFA-D5CA-4418-B6E7-1677EC35F33A/Derivates/F5BB7E65-132A-4E84-BC21-D4FBA8EBBCD2.jpg	NULL	NULL
108	Soupe d'orge	Faites cuire de l’orge dans de l’eau ou du bouillon avec des légumes comme les carottes, le céleri et les oignons. Vous pouvez ajouter de la viande ou des lentilles pour plus de consistance.	30-60 minutes	1 tasse d’orge 2 carottes 1 oignon 2 branches de céleri Bouillon de légumes	60	2	1	12	NULL	https://cdn.pratico-pratiques.com/app/uploads/sites/3/2018/08/20174111/soupe-aux-legumes-et-a-l-orge-1.jpeg	NULL	NULL
109	Soupe de légumes	Dans une grande marmite, faites revenir des oignons et de l’ail, ajoutez des légumes de saison (poireaux, carottes, pommes de terre, courgettes, etc.), puis couvrez avec de l’eau ou du bouillon. Laissez mijoter jusqu’à ce que les légumes soient tendres.	30-60 minutes	2 carottes 2 pommes de terre 1 poireau 1 courgette 1 oignon Bouillon de légumes	40	1	0	9	NULL	https://th.bing.com/th/id/R.15d8e0ac009687e6153d8e24af5c060c?rik=tXnIv8qohwVZMg&riu=http%3a%2f%2fstatic.pratico-pratiques.com%2fuploads%2fimages%2frecipe%2forig%2f15d8e0ac009687e6153d8e24af5c060c%2fsoupe-aux-legumes-dautomne.jpeg&ehk=MQSUe7mNsq9%2bCnJk4ySmBTYqL6%2b3ShCazl%2fi8VD0%2f00%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
110	Spaghetti	Cuire des pâtes spaghetti dans de l'eau salée. Servez avec une sauce tomate maison ou une sauce bolognaise, ou encore avec une sauce à base de crème et de beurre.	20 à 30 minutes.	2 carottes 2 pommes de terre 1 poireau 1 courgette 1 oignon Bouillon de légumes	130	5	2	25	NULL	https://www.simplejoy.com/wp-content/uploads/2022/09/slow-cooker-spaghetti.jpg	NULL	NULL
111	Steak	Faites cuire un steak de bœuf (ou autre viande) dans une poêle ou au grill, assaisonnez avec du sel, du poivre, et éventuellement du beurre ou de l'huile d'olive.	15-30 minutes	200g de steak (bœuf, agneau, etc.) Sel, poivre Beurre ou huile d'olive	250	26	18	0	NULL	https://th.bing.com/th/id/R.de0551bfe9cbb7ab16ffaf5a8784d791?rik=3hp9mcnGOYBQHQ&pid=ImgRaw&r=0	NULL	NULL
112	Steak de bœuf avec quinoa	Cuire un steak de bœuf à votre convenance et servir avec du quinoa cuit. Vous pouvez ajouter des légumes grillés ou une sauce légère à base de yaourt pour plus de saveur.	15-30 minutes	200g de steak de bœuf 100g de quinoa 1 cuillère à soupe d’huile d'olive Légumes grillés	210	22	12	8	NULL	https://th.bing.com/th/id/R.267de008378a627ea674139afb6f929e?rik=ThAIKQ9iZ%2fWnbQ&pid=ImgRaw&r=0	NULL	NULL
113	Sushi	Faites cuire du riz à sushi, puis assaisonnez-le avec du vinaigre de riz, du sucre et du sel. Disposez-le sur des feuilles de nori, ajoutez du poisson cru ou cuit (comme du saumon, thon, ou crevettes), puis roulez en utilisant une natte de bambou.	30-60 minutes	200g de riz à sushi 4 feuilles de nori Poisson cru (saumon, thon) Vinaigre de riz	120	5	1	25	NULL	https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.lanaturopathemoderne.com%2Fwp-content%2Fuploads%2Fsushis-maison-scaled.jpg&f=1&nofb=1&ipt=2a4c1b0bddfcec8d4a763d75da647490375be8d469a77fb08e1a2d3642fca19c&ipo=images	NULL	NULL
114	Tacos	Préparez des tortillas de maïs ou de blé, garnissez-les de viande hachée (bœuf ou poulet), de légumes (tomates, laitue), et de sauces (guacamole, salsa).	30-60 minutes	4 tortillas 200g de viande hachée 1 tomate 1 poignée de laitue Guacamole, salsa	150	8	7	18	NULL	https://th.bing.com/th/id/R.29d71f83ddc95f2e0ed25142e2cf80ab?rik=uWWhOJerW9gHYA&riu=http%3a%2f%2fforevertwentysomethings.com%2fwp-content%2fuploads%2f2016%2f10%2ftacos.jpg&ehk=%2b4em9gTW65oi2Fbr8uJdc5XILlgBOD5y9YE%2f9IlmSoo%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
115	Tagliatelle Alfredo	Faites cuire les tagliatelles, puis préparez une sauce à base de crème, beurre, et fromage parmesan râpé. Mélangez la sauce avec les pâtes.	30-60 minutes	200g de tagliatelles 100g de crème fraîche 50g de beurre 50g de parmesan	300	6	20	25	NULL	https://th.bing.com/th/id/R.e45415606a884e4ce187b1c220294270?rik=ZRcuHiDF8GQadQ&pid=ImgRaw&r=0	NULL	NULL
116	Tagliatelles aux crevettes	Faites cuire des tagliatelles et préparez une sauce avec des crevettes, de l'ail, de l’huile d'olive, et un peu de crème.	30-60 minutes	200g de tagliatelles 200g de crevettes décortiquées 2 gousses d'ail 50g de crème	180	15	8	15	NULL	https://www.cuisinethermomix.com/wp-content/uploads/2021/05/Spaghettis-a-la-sauce-aux-crevettes-cremeuse.jpg	NULL	NULL
117	Tajine	Dans une grande casserole ou un tajine, faites revenir des oignons, de l'ail, et des épices comme le cumin, le curcuma, et la cannelle. Ajoutez des légumes comme des carottes, courgettes, aubergines, tomates, pois chiches, et des pommes de terre. Laissez mijoter jusqu'à ce que les légumes soient tendres.	30-60 minutes	1 aubergine 2 courgettes 3 carottes 3 pommes de terre 1 oignon 2 tomates 1 tasse de pois chiches cuits 2 cuillères à soupe d’huile d'olive Épices : cumin, curcuma, cannelle Sel et poivre	80	2	3	12	NULL	https://upload.wikimedia.org/wikipedia/commons/4/45/Tajine_marocain.jpg	NULL	NULL
118	Tajine au légumes	Préparer les légumes :  Lavez et découpez tous les légumes selon les indications. Faire revenir les épices :  Dans un tajine (ou une casserole si vous n’avez pas de tajine), chauffez l’huile d’olive à feu moyen. Ajoutez l’oignon et l’ail, puis faites-les revenir jusqu’à ce qu’ils soient translucides. Incorporez le paprika, le curcuma, le cumin, et la cannelle (si utilisée). Mélangez bien pour libérer les arômes. Ajouter les légumes :  Disposez les morceaux de pomme de terre, carotte, courgette, tomate, et pois chiches dans le tajine. Cuire le tout :  Versez l’eau ou le bouillon de légumes. Couvrez et laissez mijoter à feu doux pendant 30 à 40 minutes, jusqu’à ce que les légumes soient tendres. Garnir :  Saupoudrez de coriandre ou de persil haché avant de servir. Servir :  Dégustez chaud, avec du pain complet ou un peu de semoule de couscous en accompagnement.	30-60 minutes	NULL	275	7	9	43	NULL	https://p1.storage.canalblog.com/16/99/1341203/124897750_o.jpg	NULL	NULL
119	Tajine d'agneau aux pruneaux	Faire revenir l'agneau dans de l'huile d'olive avec des oignons et de l'ail. Ajouter des épices comme le ras el hanout, le curcuma, le cumin, puis ajouter des pruneaux, des amandes et un peu de miel. Laissez mijoter avec de l'eau jusqu'à ce que l'agneau soit tendre.	1-3 heures	500g d'agneau 200g de pruneaux 1 oignon 2 cuillères à soupe d'huile d'olive Épices : cumin, ras el hanout, curcuma 1 cuillère à soupe de miel 1 poignée d'amandes	150	9	10	15	NULL	https://th.bing.com/th/id/R.900716c25bd10d63b32ddb251baaa0b1?rik=MAH2XOOJZlvZ2Q&riu=http%3a%2f%2f3.bp.blogspot.com%2f-PnttkXoE6vk%2fUAnbXYescyI%2fAAAAAAAAQws%2fA2_lZfeKUhs%2fs1600%2fIMG_0836.JPG&ehk=Aa%2fCk8mqRHnMv99mlJvoogr3irANgSezYMAM95Wyw%2bo%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
120	Tajine de poisson	Faire mariner le poisson (souvent du merlu ou du colin) dans des épices comme le paprika, le cumin, l’ail, et du jus de citron. Dans une cocotte, faire revenir des oignons, des tomates, et des poivrons, ajouter le poisson, puis laisser mijoter jusqu'à ce qu'il soit cuit.	30-60 minutes	500g de poisson (merlu, colin, ou dorade) 2 tomates 1 oignon 1 poivron 1 citron Épices : cumin, paprika, coriandre 2 cuillères à soupe d'huile d'olive	110	19	4	5	NULL	https://assets.afcdn.com/recipe/20160802/33957_w2048h1536c1cx1500cy1000.jpg	NULL	NULL
121	Tajine de pommes de terre	Faites revenir des pommes de terre coupées en morceaux avec des oignons, de l’ail, et des épices comme le paprika et le cumin. Ajoutez un peu de tomate et d’eau, puis laissez cuire à feu doux jusqu'à ce que les pommes de terre soient tendres.	30-60 minutes	6 pommes de terre moyennes 1 oignon 2 tomates 2 cuillères à soupe d'huile d'olive Épices : cumin, paprika, cannelle	110	2	5	17	NULL	https://img.cuisineaz.com/660x660/2013/12/20/i2067-tajine-de-pommes-de-terre.jpeg	NULL	NULL
122	Tajine de poulet	Faire dorer le poulet dans une cocotte avec de l'huile d'olive, de l'ail, et des épices comme le cumin, le curcuma, et le gingembre. Ajoutez des olives, des citrons confits et des légumes comme des carottes et des pommes de terre. Laissez mijoter.	1-3 heures	4 cuisses de poulet 1 oignon 1 citron confit 1 poignée d'olives vertes 2 carottes 3 pommes de terre Épices : cumin, curcuma, gingembre, cannelle	150	20	8	10	NULL	https://cdn.tasteatlas.com/images/dishes/ae34fe326cd440caabba424b59a0c679.jpg	NULL	NULL
123	Tajine de viande	Faire dorer la viande dans de l'huile, ajouter des oignons, de l’ail, et des épices. Ajouter des légumes (pommes de terre, carottes), et laisser mijoter à feu doux pendant plusieurs heures jusqu'à ce que la viande soit bien tendre	1-3 heures	500g de viande (bœuf ou agneau) 3 pommes de terre 2 carottes 1 oignon Épices : cumin, cannelle, gingembre	170	22	9	8	NULL	https://th.bing.com/th/id/R.603204215b0056bc641f18e3f49f3cec?rik=OeJjQAGBUvTc3w&pid=ImgRaw&r=0	NULL	NULL
124	Tajine de viande hachée	Faire revenir la viande hachée dans un peu d’huile, ajouter des oignons et des épices comme le cumin et le paprika. Ajouter des légumes (pois chiches, tomates) et laisser cuire à feu doux.	30-60 minutes	500g de viande hachée 1 oignon 2 tomates 1 tasse de pois chiches Épices : cumin, paprika, cannelle	200	15	15	6	NULL	https://th.bing.com/th/id/R.3dea6a41081644e061cf089da27f7b5c?rik=mzc%2ffnSZNfdXvQ&riu=http%3a%2f%2fwww.mytastycuisine.com%2fwp-content%2fuploads%2f2020%2f10%2fB236E498-BFC8-4475-9E43-0F822A027962-scaled.jpeg&ehk=6p0%2fxs7gvIcodhiThruWPS12zQTUNOlO9V2IesIlT5w%3d&risl=&pid=ImgRaw&r=0	NULL	NULL
125	Tanjia	C'est un plat de Marrakech, où la viande (souvent du bœuf ou de l’agneau) est marinée dans des épices et cuite lentement dans un pot en terre cuite. On y ajoute des gousses d’ail, des épices comme le cumin, le ras el hanout, et parfois des olives.	1-3 heures	500g de viande (bœuf ou agneau) 2 tasses d'ail Épices : cumin, ras el hanout 1 poignée d’olives vertes 1 citron confit	210	23	12	5	NULL	https://th.bing.com/th/id/OIP.FdtI0JBOw2StCDUFMT2K8AHaGX?rs=1&pid=ImgDetMain	NULL	NULL
126	Tarte aux pommes caramélisées	Préparer une pâte brisée. Cuire les pommes avec du sucre jusqu'à caramélisation. Déposer sur la pâte, cuire au four 30 min à 180°C.	30-60 minutes	Pâte brisée, pommes, sucre, beurre	250	3	10	40	https://example.com/tarte_pommes.jpg	https://www.cuisine-et-mets.com/wp-content/uploads/2017/07/Fotolia_81685131_Subscription_Monthly_M-1126x850.jpg	NULL	NULL
127	Tartiflette	Faire revenir des pommes de terre, lardons et oignons. Ajouter de la crème et du reblochon, cuire au four 20 min.	1-3 heures	Pommes de terre, lardons, oignons, crème, reblochon	350	15	20	25	https://example.com/tartiflette.jpg	https://img.ohmymag.com/s3/fromm/1280/cuisine/default_2020-02-28_55bd9fc6-c6d2-4eb6-914b-53876302d134.jpeg	NULL	NULL
128	Thé Marocain	Faire bouillir de l'eau. Ajouter du thé vert, sucre et menthe fraîche. Laisser infuser.	15-30 minutes	Thé vert, sucre, menthe	60	0	0	15	https://example.com/the_marocain.jpg	https://th.bing.com/th/id/R.bef13059d69049202084391788bbf219?rik=Wqlp1rzp1amuVg&pid=ImgRaw&r=0	NULL	NULL
